post,pre
0,0
0,0
0,0
0,12240
12240,0
0,664
664,0
0,13
13,0
0,4
4,0
0,0
0,49
49,3
3,1183
1183,0
0,654
654,18
18,8
8,5
5,1
1,4
4,8
8,3
3,5
5,7
7,17
17,14
14,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1030
1030,4
4,0
0,0
0,0
0,0
0,5
5,3
3,0
0,0
0,2
2,4
4,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,41
41,3
3,0
0,4
4,4
4,4
4,4
4,2
2,17
17,0
0,3
3,24
24,8
8,65
65,717
717,35
35,7
7,9
9,5
5,9
9,5
5,29
29,7
7,4
4,9
9,10
10,14
14,5
5,36
36,18
18,0
0,5
5,8
8,8
8,6
6,0
0,7
7,0
0,5
5,0
0,465
465,6
6,0
0,0
0,0
0,0
0,882
882,0
0,0
0,3
3,0
0,0
0,0
0,0
0,890
890,391
391,4
4,2
2,5
5,0
0,0
0,0
0,0
0,0
0,0
0,17
17,0
0,4
4,4
4,6
6,41
41,0
0,0
0,0
0,0
0,1
1,485
485,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3
3,4
4,0
0,0
0,0
0,0
0,4
4,4
4,0
0,0
0,1
1,6
6,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,5
5,1103
1103,3
3,19
19,25
25,0
0,0
0,0
0,0
0,0
0,0
0,0
0,18
18,2
2,8
8,1
1,5
5,10
10,3
3,575
575,8
8,3
3,0
0,1
1,2
2,0
0,0
0,0
0,0
0,0
0,2631
2631,0
0,0
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,1215
1215,4
4,3
3,3
3,5
5,0
0,0
0,0
0,2
2,4
4,7
7,4
4,0
0,5
5,4
4,165
165,3
3,4
4,3
3,4
4,3
3,3
3,3
3,851
851,0
0,3
3,5
5,491
491,9
9,0
0,0
0,0
0,1001
1001,897
897,100
100,24
24,18
18,11
11,5
5,0
0,0
0,559
559,103
103,0
0,0
0,0
0,0
0,12
12,5
5,205
205,6
6,6
6,4
4,0
0,0
0,0
0,0
0,0
0,3962
3962,5
5,5
5,4
4,32
32,22
22,13
13,6
6,7
7,148
148,6693
6693,4
4,24
24,1314
1314,3
3,17
17,3
3,7
7,14
14,33
33,9
9,24
24,2890
2890,3
3,17
17,76
76,4
4,5
5,47
47,22
22,6
6,7
7,5
5,20
20,2661
2661,1396
1396,5
5,4195
4195,4
4,9
9,6
6,4
4,7
7,104
104,4
4,23
23,16
16,12
12,4
4,17
17,13
13,4
4,12
12,11
11,11
11,1225
1225,8
8,5
5,19
19,2
2,12
12,4
4,7
