post,pre
6,5
5,4
4,5
5,5
5,7
7,927
927,4
4,3
3,4
4,6
6,202
202,5
5,3
3,4
4,4
4,4
4,4
4,5
5,5
5,11
11,5
5,4
4,1216
1216,5
5,3
3,4
4,3
3,4
4,5
5,5
5,4
4,4
4,4
4,5
5,6
6,5
5,5
5,5
5,3
3,6
6,4
4,5
5,3
3,3
3,5
5,5
5,6
6,5
5,6
6,305
305,5
5,3
3,2
2,5
5,6
6,4
4,4
4,10
10,5
5,214
214,2
2,2
2,6
6,4
4,7
7,5
5,4
4,5
5,6
6,5
5,4
4,6
6,4
4,3
3,3
3,4
4,4
4,3
3,509
509,149
149,5
5,3
3,5
5,4
4,20
20,22
22,105
105,3
3,4
4,5
5,5
5,5
5,4
4,2
2,5
5,19
19,4
4,5
5,4
4,1
1,4
4,3
3,4
4,2
2,4
4,4
4,5
5,4
4,3
3,5
5,4
4,4
4,46
46,5
5,4
4,7
7,3
3,5
5,8
8,4
4,4
4,5
5,6
6,4
4,6
6,2
2,115
115,3
3,5
5,6
6,4
4,4
4,1
1,3
3,4
4,5
5,11
11,2556
2556,13
13,51
51,4
4,59
59,5
5,4
4,3
3,1317
1317,5
5,4
4,1326
1326,4
4,4
4,5
5,6
6,4
4,4
4,4
4,4
4,135
135,4
4,4
4,4
4,4
4,3
3,3
3,4
4,2782
2782,1511
1511,3
3,4
4,1405
1405,4
4,4
4,3
3,24
24,276
276,4
4,17
17,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
5,5
5,4
4,1077
1077,4
4,418
418,9
9,818
818,4
4,4
4,4
4,3
3,4
4,4
4,4
4,3
3,5
5,5
5,5
5,4
4,1579
1579,4
4,1449
1449,351
351,5
5,4
4,5
5,5
5,1266
1266,199
199,6
6,733
733,4
4,4
4,3
3,5
5,4
4,4
4,4
4,5
5,4
4,5
5,5
5,555
555,5
5,5
5,5
5,10
10,4
4,4
4,4
4,164
164,4
4,9
9,4
4,5
5,4
4,5
5,4
4,555
555,2
2,4
4,4
4,4
4,5
5,5
5,4
4,5
5,4
4,5
5,4
4,5
5,4
4,6
6,4
4,4
4,4
4,5
5,1540
1540,4
4,4
4,8
8,5
5,3
3,5
5,4
4,6
6,8
8,5
5,4
4,8
8,11
11,4
4,3
3,4
4,28
28,4
4,5
5,6
6,7
7,4
4,5
5,4
4,5
5,4
4,4
4,4
4,448
448,8
8,5
5,4
4,4
4,4
4,5
5,7
7,1028
1028,12
12,4
4,4
4,4
4,3
3,5
5,4
4,3
3,4
4,173
173,4
4,4
4,3
3,4
4,5
5,4
4,4
4,4
4,4
4,5
5,4
4,5
5,13
13,5
5,5
5,5
5,25397
25397,1
1,310
310,4
4,4
4,6
6,7
7,5
5,4
4,5
5,4
4,10211
10211,4
4,11
11,1048
1048,30
30,4
4,4
4,5
5,5
5,5
5,5
5,7
7,7
7,1279
1279,12
12,4
4,4
4,6
6,8
8,6
6,9
9,4
4,4
4,6
6,6
6,3
3,7
7,3
3,2
2,7
7,2
2,5
5,4
4,4
4,3
3,20
20,5
5,4
4,2100
2100,2419
2419,4
4,3
3,5
5,5
5,399
399,1482
1482,6
6,4
4,9
9,5
5,2698
2698,3
3,4
4,3
3,3
3,4
4,5
5,5
5,6
6,1238
1238,5
5,10
10,3
3,4
4,4
4,4
4,3
3,4
4,4
4,2727
2727,2
2,3
3,5
5,4
4,5
5,5
5,1855
1855,4
4,6
6,6
6,105
105,2
2,3291
3291,7
7,5
5,5
5,6
6,5
5,4
4,2
2,6
6,1738
1738,19
19,4
4,4
4,4
4,3
3,4
4,6
6,3
3,5
5,5
5,6
6,1754
1754,4
4,4
4,4
4,7
7,901
