post,pre
1238,150
150,1299
1299,132
132,97
97,1094
1094,180
180,109
109,76
76,2770
2770,70
70,1203
1203,233
233,87
87,1036
1036,156
156,134
134,105
105,1035
1035,78
78,68
68,105
105,66
66,65
65,1266
1266,1335
1335,108
108,113
113,83
83,2207
2207,203
203,281
281,178
178,1113
1113,144
144,145
145,1085
1085,4
4,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,2
2,3
3,1
1,3
3,3
3,61
61,115
115,87
87,168
168,936
936,103
103,62
62,2
2,2
2,2
2,2
2,1
1,1
1,1
1,4
4,24
24,114
114,103
103,1067
1067,237
237,167
167,1032
1032,130
130,143
143,66
66,2677
2677,183
183,1266
1266,105
105,84
84,1278
1278,4
4,3
3,2
2,2
2,1
1,5
5,3
3,17
17,78
78,65
65,1060
1060,180
180,58
58,46
46,74
74,1264
1264,70
70,155
155,979
979,90
90,112
112,2879
2879,144
144,1191
1191,202
202,109
109,72
72,1072
1072,218
218,133
133,990
990,65
65,242
242,140
140,1048
1048,97
97,177
177,86
86,1065
1065,104
104,70
70,232
232,2854
2854,1019
1019,15
15,187
187,101
101,5
5,1
1,7
7,24
24,171
171,902
902,28
28,57
57,63
63,103
103,195
195,1037
1037,154
154,104
104,115
115,1006
1006,170
170,79
79,52
52,124
124,1077
1077,75
75,88
88,172
172,2680
2680,83
83,88
88,1288
1288,89
89,158
158,940
940,146
146,2
2,2
2,2
2,1
1,1
1,7
7,1
1,3
3,1
1,4
4,5
5,47
47,51
51,215
215,963
963,118
118,187
187,95
95,105
105,962
962,261
261,97
97,1208
1208,151
151,53
53,83
83,2869
2869,1274
1274,111
111,1236
1236,71
71,258
258,1026
1026,127
127,2
2,0
0,0
0,5
5,0
0,4
4,4
4,1
1,4
4,2
2,0
0,1
1,0
0,0
0,0
0,0
0,6
6,55
55,87
87,1316
1316,110
110,1176
1176,230
230,3082
3082,956
956,282
282,97
97,1009
1009,69
69,115
115,1353
1353,1216
1216,134
134,98
98,152
152,0
0,2
2,3
3,1
1,2
2,2
2,0
0,2
2,0
0,2
2,0
0,1
1,7
7,77
77,1092
1092,400
400,996
996,211
211,1356
1356,2
2,1
1,2
2,2
2,1
1,2
2,1
1,2
2,1
1,2
2,1
1,1
1,2
2,1
1,1
1,2
2,9
9,81
81,213
213,986
986,80
80,145
145,123
123,1090
1090,242
242,153
153,1145
1145,286
286,1024
1024,56
56,145
145,1249
1249,396
396,2582
2582,1371
1371,62
62,44
44,118
118,75
75,1164
1164,165
165,187
187,939
939,17
17,115
115,233
233,151
151,1140
1140,121
121,106
106,1071
1071,116
116,113
113,29
29,59
59,2448
2448,1702
1702,146
146,1163
1163,185
185,197
197,1023
1023,476
476,915
915,297
297,2542
2542,435
435,1099
1099,265
265,137
137,989
989,145
145,139
139,152
152,1054
1054,18
18,274
274,75
75,1240
1240,124
124,78
78,1201
1201,94
94,1237
1237,135
135,100
100,972
972,1914
1914,1235
1235,143
143,5
5,2
2,0
0,0
0,4
4,1
1,2
2,0
0,12
12,54
54,160
160,1052
1052,113
113,204
204,1084
1084,187
187,75
75,1212
1212,1580
1580,197
197,7
7,135
135,2468
2468,322
322,1015
1015,185
185,214
214,966
966,74
74,347
347,1221
1221,1320
1320,1458
1458,267
267,79
79,1178
1178,1572
1572,120
120,1138
1138,72
72,284
284,989
989,79
79,69
69,78
78,127
127,27
27,1060
1060,81
81,144
144,118
118,837
837,22
22,3
3,1
1,2
2,1
1,0
0,1
1,0
0,0
0,2
2,0
0,1
1,1
1,3
3,1
1,0
0,1
1,3
3,2
2,0
0,0
0,0
0,1
1,0
0,2
2,1
1,0
0,1
1,0
0,0
0,0
0,1
1,0
0,0
0,1
1,0
0,0
0,1
1,0
0,0
0,0
0,1
1,1
1,0
0,1
1,1
1,0
0,0
0,1
1,2
2,1
1,1
1,7
7,52
52,70
70,114
114,56
56,54
54,75
75,96
96,91
91,99
99,1081
1081,225
225,1288
1288,1137
1137,374
374,121
121,985
985,207
207,175
175,115
115,960
960,65
65,83
83,122
122,62
62,94
94,1051
1051,101
101,106
106,98
98,26
26,987
987,200
200,186
186,1169
1169,126
126,150
150,3
3,2
2,3
3,6
6,3
3,2
2,10
10,45
45,2471
2471,464
464,1228
1228,132
132,62
62,871
871,431
431,91
91,76
76,964
964,82
82,2
2,2
2,3
3,3
3,2
2,2
2,2
2,1
1,9
9,56
56,24
24,62
62,1294
1294,90
90,160
160,1111
1111,159
159,266
266,1180
1180,1257
1257,1576
1576,211
211,1488
